,Insider Own,Shs Outstand,Perf Week,Market Cap,Insider Trans,Shs Float,Perf Month,Income,Inst Own,Short Float,Perf Quarter,Sales,EPS this Y,Inst Trans,Perf Half Y,ROA,Perf Year,ROE,Perf YTD,EPS past 5Y,ROI,52W High,Gross Margin,52W Low,Sales Q/Q,Oper. Margin,EPS Q/Q,Profit Margin,Payout,SMA20,SMA50,SMA200,Change,EPS next Y,EPS next 5Y,Avg Volume,Sales past 5Y,Dividend %
YRCW,0.05,53280000000.0,0.0121,229230000000.0,0.0,49280000000.0,-0.10869999999999999,-64099999999.99999,0.332,0.024,1.3483,4580000000.0,-6.242999999999999,-0.2983,1.2473,-0.034,0.037200000000000004,0.149,0.6392,-0.008,0.022000000000000002,-0.26,0.124,2.2403,-0.20199999999999999,0.01,-0.536,-0.013999999999999999,,-0.04019999999999999,0.1315,0.7019,-0.0435,0.862,,3340000000.0,-0.008,
ZVO,0.034,32140000000.0,0.0721,139900000000.0,-0.039599999999999996,29780000000.0,-0.18059999999999998,-23400000000.0,0.637,0.013600000000000001,0.6325999999999999,402300000000.0,1.34,-0.0463,2.448,-0.08900000000000001,1.0047,-0.21600000000000003,1.0922,-0.614,-0.564,-0.4046,0.518,2.9907,-0.033,-0.085,1.272,-0.057999999999999996,,-0.0181,-0.0554,0.6194,0.0189,1.625,0.15,,-0.081,
PTR,0.8640000000000001,1820000000.0,0.0132,108700000000.0,0.0,210990000000.0,-0.0803,2810000000.0,0.018000000000000002,0.0016,-0.0774,356310000000.0,-0.139,-0.0016,0.1067,0.017,-0.3843,0.037000000000000005,-0.3522,-0.157,0.046,-0.3948,0.319,0.1752,-0.14400000000000002,0.05,-2.589,0.019,0.0,-0.0387,-0.0678,-0.1558,-0.012199999999999999,1.0133,-0.121,,0.02,0.0576
IVC,0.047,34440000000.0,0.09380000000000001,252990000000.0,0.0,33119999999.999996,-0.009399999999999999,-42600000000.0,,0.159,0.1685,883400000000.0,-0.14400000000000002,0.0496,0.6048,-0.049,0.0,-0.138,-0.18510000000000001,0.059000000000000004,-0.096,-0.368,0.289,0.8845999999999999,-0.168,-0.039,-0.281,-0.048,,0.0668,0.06269999999999999,0.0039000000000000003,0.018000000000000002,0.8859999999999999,0.1,,-0.061,
NS,0.09699999999999999,109200000000.0,-0.0108,1270000000.0,0.003,98070000000.0,-0.1686,-130500000000.0,0.7020000000000001,0.013500000000000002,-0.2502,1510000000.0,1.178,-0.0155,0.2746,-0.023,-0.5896,-0.155,-0.5385,-0.226,0.087,-0.6,0.37200000000000005,1.3956,-0.08800000000000001,0.14800000000000002,-1.561,-0.09,,-0.068,-0.1325,-0.3148,-0.0083,2.322,0.136,,-0.134,0.1341
JRJC,0.115,2440000000.0,0.061799999999999994,20040000000.0,0.0,1400000000.0,-0.0535,-11300000000.0,0.114,0.0042,0.12689999999999999,35500000000.0,0.439,0.0521,0.9756,-0.127,-0.0025,-0.389,-0.09210000000000002,-0.084,-0.503,-0.7426999999999999,0.635,1.2139,-0.187,-0.348,0.23600000000000002,-0.317,,0.0296,-0.1392,0.17559999999999998,-0.0062,,,,-0.158,
MT,0.44799999999999995,1120000000.0,0.094,15390000000.0,0.0,722080000000.0,0.17370000000000002,-4100000000000.0,0.052000000000000005,0.010700000000000001,0.34729999999999994,57970000000.0,-1.48,0.5177,0.7894,-0.048,-0.0983,-0.11,-0.2104,-0.111,-0.021,-0.2668,,1.0857999999999999,-0.431,-0.032,-0.133,-0.071,,0.1076,0.1537,0.1008,0.008,1.7469999999999999,,4269999999.9999995,-0.023,0.0144
EC,0.01,2060000000.0,0.0174,22730000000.0,0.0,221630000000.0,-0.0398,1940000000.0,0.022000000000000002,0.028300000000000002,-0.0195,16210000000.0,0.147,-0.0755,0.5424,0.051,-0.3538,0.131,-0.44439999999999996,0.183,0.16699999999999998,-0.4708,0.294,0.7659,-0.539,0.19699999999999998,-0.993,0.12,0.0,-0.0207,-0.042199999999999994,-0.18780000000000002,0.0,1.1926999999999999,-0.13,,0.013999999999999999,0.0801
BKCC,0.013500000000000002,70170000000.0,0.0115,185960000000.0,0.0641,,-0.0636,,0.377,,-0.07339999999999999,75350000000.0,-0.11900000000000001,,0.23420000000000002,,-0.462,,-0.4506,-0.1074,,-0.4755,,0.8554999999999999,-0.11,,,,,-0.0149,-0.0017000000000000001,-0.2089,0.0271,-0.038,0.03,,,0.1509
BBVA,0.079,6670000000.0,-0.0455,18900000000.0,0.0,6650000000.0,-0.0683,-102800000000.0,0.026000000000000002,0.0004,-0.1923,28390000000.0,-0.35100000000000003,0.0,-0.087,0.0,-0.479,-0.002,-0.5108,0.038,0.09699999999999999,-0.5293,,0.0341,-0.48200000000000004,0.535,-0.345,-0.004,,-0.0576,-0.1326,-0.2974,-0.0353,,0.07200000000000001,3720000000.0,0.063,0.1722
