,previousClose,regularMarketOpen,twoHundredDayAverage,regularMarketDayHigh,regularMarketPreviousClose,fiftyDayAverage,open,beta,regularMarketDayLow,trailingPE,priceToSalesTrailing12Months,dayLow,ask,fiftyTwoWeekHigh,fiftyTwoWeekLow,bid,dayHigh,enterpriseToRevenue,profitMargins,bookValue,sharesPercentSharesOut,heldPercentInstitutions,trailingEps,priceToBook,heldPercentInsiders,shortRatio,earningsQuarterlyGrowth,shortPercentOfFloat,regularMarketPrice,forwardPE,enterpriseToEbitda,forwardEps,pegRatio,trailingAnnualDividendYield,trailingAnnualDividendRate,payoutRatio,dividendRate,fiveYearAvgDividendYield,dividendYield
TRVN,2.22,2.22,1.3762572,2.6699,2.22,2.0887144,2.22,2.827201,2.22,,12863.29,2.22,2.55,3.68,0.46,2.53,2.6699,6052.684,,0.435,0.1035,0.20526,-0.274,5.977011,0.030639999,0.65,,0.104399994,2.22,-14.444444,-6.997,-0.18,,,,,,,
AZRE,31.9,32.5,17.818665,33.02,31.9,24.160856,32.5,0.581313,30.475,,,30.475,41.05,33.02,11.12,30.05,33.02,,-0.17825001,6.036,0.0005,0.89563006,-0.109,5.4489727,0.07634,0.48,-0.78,0.0022,32.5,822.25,,0.04,-0.8,,,,,,
NNBR,5.68,5.78,4.2434287,5.89,5.68,5.449714,5.78,3.376254,5.5,,0.32667136,5.5,5.98,10.15,1.35,5.49,5.89,1.529,-0.38007,1.354,0.057800002,0.97190005,-7.047,4.2023635,0.02557,4.99,,0.0701,5.78,28.45,13.274,0.2,-4.21,0.012323944,0.07,,,2.21,
EQ,6.37,6.33,5.156286,6.9,6.37,7.1774287,6.33,,6.16,,,6.16,6.75,27.05,2.2,6.75,6.9,,,1.747,0.0197,0.26007,-1.593,3.669147,0.63329,0.67,,0.0446,6.33,-3.9325151,-2.656,-1.63,,,,,,,
DADA,28.18,28.64,24.42446,28.755,28.18,25.859715,28.64,,27.6,,,27.6,28.6,34.94,14.6,28.53,28.755,,-0.40679002,,0.0068,,,,,1.73,,,28.64,,,,,,,,,,
CSBR,8.61,8.71,8.251643,9.11,8.61,8.570571,8.71,1.219063,8.42,,3.6095996,8.42,9.34,10.89,4.02,5.29,9.11,2.759,-0.061479997,0.418,0.0108,0.51346,-0.17,21.794256,0.20785,7.26,,0.0216,8.71,41.40909,-137.816,0.22,8.2,,,,,,
CYCN,8.15,8.11,4.56175,8.9569,8.15,6.029143,8.11,,7.84,,61.30773,7.84,8.41,14.77,1.69,7.86,8.9569,47.978,,2.373,0.0269,0.60418,-3.38,3.5356092,0.12579,3.28,,0.0295,8.11,-6.169118,-2.52,-1.36,,,,,,,
CGEN,18.16,18.35,13.861286,18.91,18.16,17.016285,18.35,2.731326,17.81,,,17.81,18.8,19.9,3.83,17.51,18.91,,,1.566,0.083500005,0.31243,-0.37,12.043424,0.00183,4.04,,0.12060001,18.35,-41.911114,-91.569,-0.45,,,,,,,
RFIL,4.95,4.9,4.7805715,4.92,4.95,4.443143,4.9,0.984949,4.8401,87.5,0.9998214,4.8401,,7.93,3.31,4.5,4.92,0.646,0.01132,3.254,0.00029999999,0.36653998,0.056,1.505839,0.13267,0.05,,0.00029999999,4.9,16.333332,31.871,0.3,,0.012121213,0.06,,,3.52,
BSGM,8.49,8.7,7.537071,,8.49,7.692,8.7,1.33389,8.34,,,8.34,8.57,12.43,2.36,8.54,,,,1.14,0.0975,0.14017999,-2.134,7.54386,0.24569,5.21,,0.111099996,8.7,14.576272,-3.161,0.59,,,,,,,
ENDP,3.24,3.24,3.5648572,3.31,3.24,3.0851429,3.24,1.423076,3.18,,0.2495488,3.18,3.26,7.1,2.08,3.24,3.31,2.428,-0.05248,-3.111,0.1158,0.89269996,-0.699,,0.00681,7.05,,0.16450001,3.24,1.5673077,14.646,2.08,-0.07,,,,,,
