,previousClose,regularMarketOpen,twoHundredDayAverage,regularMarketDayHigh,regularMarketPreviousClose,fiftyDayAverage,open,beta,regularMarketDayLow,trailingPE,priceToSalesTrailing12Months,dayLow,ask,fiftyTwoWeekHigh,fiftyTwoWeekLow,bid,dayHigh,enterpriseToRevenue,profitMargins,bookValue,sharesPercentSharesOut,heldPercentInstitutions,trailingEps,priceToBook,heldPercentInsiders,shortRatio,earningsQuarterlyGrowth,shortPercentOfFloat,regularMarketPrice,forwardPE,enterpriseToEbitda,forwardEps,pegRatio,trailingAnnualDividendYield,trailingAnnualDividendRate,payoutRatio,dividendRate,fiveYearAvgDividendYield,dividendYield
RCKT,24.79,25.05,20.2875,26.05,24.79,25.537714,25.05,1.640686,24.7,,,24.7,25.93,29.14,9.01,22.16,26.05,,,4.831,0.1716,0.95489,-1.679,5.3901887,0.050430004,33.74,,0.2697,25.05,-13.218274,-12.696,-1.97,-1.21,,,,,,
QURE,41.68,41.55,50.07393,42.43,41.68,40.30514,41.55,1.166109,40.72,,348.9594,40.72,42.03,76.687,36.2,40.51,42.43,286.243,,5.982,0.0817,0.9593,-3.132,6.969241,0.07797,9.6,,0.091400005,41.55,-24.964071,-11.69,-1.67,,,,,,,
FIVE,134.16,136.78,98.30479,140.14,134.16,115.856,136.78,1.225195,135.35,76.916145,4.51202,135.35,136.88,140.14,47.53,136.83,140.14,4.79,0.05886,12.965,0.0935,1.02544,1.777,10.542229,0.021440001,6.46,0.026,0.0955,136.78,36.351063,44.898,3.76,4.9,,,,,,
VFF,5.73,5.7,4.59,5.81,5.73,5.674286,5.7,2.962209,5.58,,2.501837,5.58,5.78,10.62,2.07,5.61,5.81,2.283,-0.02507,2.46,0.1011,0.15329,-0.072,2.3333333,0.18621,4.89,,0.1244,5.7,,-24.742,,,,,,,,
STAA,54.83,55.22,44.177284,56.35,54.83,51.300285,55.22,1.41806,54.785,341.15854,17.279432,54.785,55.83,62.51,23.2,55.94,56.35,15.018,0.050300002,3.813,0.058000002,0.98606,0.164,14.673486,0.011109999,3.61,,0.077,55.22,121.63043,289.538,0.46,36.55,,,,,,
DRNA,19.6,19.93,20.674429,20.045,19.6,19.205286,19.93,1.544035,19.405,,16.497316,19.405,,27.68,11.75,18.25,20.045,7.257,-1.39268,2.182,0.053000003,0.83074,-1.757,9.097159,0.07491,6.64,,0.0561,19.93,-21.576086,-4.966,-0.92,,,,,,,
LIQT,7.66,7.64,5.6295714,7.7,7.66,7.0445714,7.64,1.17447,7.1,,5.159918,7.1,7.17,8.25,2.95,3.75,7.7,4.747,-0.077870004,1.199,0.072399996,0.47209,-0.118,6.1301084,0.14762999,29.91,,0.0744,7.64,14.7,-257.591,0.5,-1.7,,,,,,
AAXN,82.83,83.15,81.196144,83.25,82.83,83.978,83.15,0.588071,80.75,,8.864543,80.75,82.96,104.9,49.8,81.83,83.25,8.076,-0.055760004,13.705,0.071100004,0.91153,-0.553,6.0233493,0.0191,6.53,,0.082600005,83.15,58.96429,-515.483,1.4,4.79,,,,,,
RETA,103.36,104.3,143.10086,105.7533,103.36,111.58428,104.3,1.6091,100.84,,231.0898,100.84,106.5,257.965,73.38,92.1,105.7533,177.842,,6.897,0.099700004,0.82027,-10.709,15.295056,0.052410003,6.65,,0.1596,104.3,-10.037107,-8.027,-10.51,,,,,,,
MOH,181.31,182.28,169.9635,185.74,181.31,185.74742,182.28,0.664437,181.0901,14.298109,0.64382654,181.0901,184.65,198.38,102.85,184.23,185.74,0.403,0.04689,33.831,0.0272,1.07432,12.908,5.4553514,0.0066500003,5.15,0.408,0.0306,182.28,13.660992,5.462,13.51,1.53,,,,,,
NEPH,6.68,6.57,7.5959287,6.89,6.68,7.3125715,6.57,1.119286,6.125,,5.34773,6.125,,11.35,4.42,4.42,6.89,5.867,-0.37473,1.021,0.0018000001,0.45446998,-0.467,6.0039177,0.12047,1.52,,0.0031,6.57,-22.703703,-16.925,-0.27,,,,,,,
EDUC,14.93,15.01,9.013429,15.04,14.93,14.894857,15.01,1.734671,14.51,19.608109,0.97987616,14.51,19.68,19.76,3.02,9.5,15.04,1.061,0.050219998,3.71,0.0058,0.25475,0.74,3.9110513,0.22655001,0.55,0.416,0.007900001,15.01,,14.246,,,0.014065639,0.21,0.2838,0.24,,0.0161
PAYS,5.8,5.87,7.4379287,5.92,5.8,7.406857,5.87,1.358416,5.62,53.363636,8.280946,5.62,5.93,12.44,3.63,5.73,5.92,7.396,0.17226,0.446,0.0615,0.30321,0.11,13.161434,0.43752,3.8,,0.098500006,5.87,22.576923,42.113,0.26,,,,,,,
FTNT,115.35,116.17,122.55543,117.72,115.35,127.575714,116.17,0.843924,114.31,49.11223,8.856502,114.31,119.6,151.95,70.2,113.16,117.72,7.286,0.17462,3.362,0.030199999,0.79116994,2.388,34.884,0.16657,3.52,0.542,0.0423,116.17,33.9942,35.798,3.45,2.09,,,,,,
CDNA,33.28,33.66,29.294285,34.48,33.28,33.448715,33.66,0.983277,32.79,,11.122142,32.79,,37.545,13.04,33.96,34.48,9.517,-0.12663001,5.337,0.1144,0.97010005,-0.44,6.376241,0.02495,10.88,,0.1297,33.66,567.1667,-63.498,0.06,-10.4,0.04735577,1.576,,,,
ZEN,95.39,96.38,81.39743,97.27,95.39,92.641426,96.38,1.324414,93.63,,11.937288,93.63,,107.79,50.23,95.81,97.27,11.969,-0.19236,3.562,0.088199995,0.98921996,-1.574,26.841661,0.0137600005,5.67,,0.1013,96.38,136.58572,-108.889,0.7,3.43,,,,,,
ADUS,96.08,96.85,86.371216,97.42,96.08,95.18943,96.85,0.481605,94.64,47.71174,2.0683868,94.64,96.44,106.98,43.13,96.43,97.42,1.88,0.04242,31.736,0.014400001,1.0343,2.019,3.0353541,0.014359999,1.97,0.305,0.0182,96.85,29.01506,23.24,3.32,2.2,,,,,,
BLFS,25.43,26.25,16.142357,27.43,25.43,21.740286,26.25,1.695652,,46.91379,23.545605,,27.99,28.28,7.37,27.21,27.43,19.787,0.51862997,4.074,0.039300002,0.58073,0.58,6.67894,0.2702,4.76,,0.0517,26.25,160.05882,255.684,0.17,8.77,,,,,,
FCN,105.99,106.74,117.57614,107.61,105.99,115.202,106.74,0.182831,105.85,20.762016,1.6150068,105.85,106.25,144.1,100.57,106.23,107.61,1.698,0.080740005,41.414,0.044299997,1.03487,5.118,2.565799,0.01885,4.68,-0.254,0.0683,106.74,16.297546,13.061,6.52,1.36,,,,,,
IRDM,28.19,28.07,25.143715,28.52,28.19,28.511143,28.07,1.426978,27.08,,6.3595004,27.08,28.93,32.08,16.87,,28.52,9.13,-0.29869,10.633,0.0481,0.84856004,-1.285,2.568419,0.12476,11.01,,0.0627,28.07,-124.13636,15.893,-0.22,-5.03,,,,,,
VRNS,110.98,112.73,88.17193,113.68,110.98,116.477715,112.73,1.162764,108.95,,13.596667,108.95,117.08,127.37,48.95,112.04,113.68,12.958,-0.33748,2.49,0.0784,1.0093399,-2.835,44.819275,0.02017,6.37,,0.0799,112.73,-485.21738,-43.561,-0.23,-2.68,,,,,,
SPLK,177.68,178.85,170.23465,180.1625,177.68,200.83029,178.85,1.54738,171.27,,11.971096,171.27,174.89,225.89,93.92,174.66,180.1625,13.055,-0.27622998,10.409,0.0544,0.95402,-4.144,16.801805,0.00543,4.78,,0.0653,178.85,236.33783,-64.903,0.74,-96.01,,,,,,
VCEL,18.98,19.19,14.209714,19.58,18.98,16.537144,19.19,2.865105,18.6,,7.4213443,18.6,19.05,19.64,6.78,18.7,19.58,6.196,-3.0000001e-05,2.381,0.14029999,0.88875,-0.001,8.03024,0.01064,14.45,,0.1415,19.19,65.93104,723.739,0.29,,,,,,,
SPSC,72.82,73.71,64.45793,74.0407,72.82,77.51714,73.71,0.826086,70.18,65.51376,8.549021,70.18,71.43,83.85,31.28,71.42,74.0407,8.198,0.13227001,10.628,0.019299999,0.98977995,1.09,6.719044,0.0049900003,2.97,0.273,0.0234,73.71,46.370132,38.913,1.54,3.42,,,,,,
VICR,81.08,80.91,63.154785,82.235,81.08,82.622574,80.91,0.738573,78.88,422.75134,12.836,78.88,80.59,90.88,28.69,68.15,82.235,12.436,0.03052,7.582,0.0195,0.46060002,0.189,10.538117,0.35651,4.72,0.041,0.0385,80.91,85.91398,188.748,0.93,16.89,,,,,,
CRSP,85.14,85.75,68.4525,87.71,85.14,89.138855,85.75,2.271717,83.41,271.83545,20.846893,83.41,87.9,105.12,32.3,83.3,87.71,16.315,0.06771,14.558,0.0635,0.55734,0.316,5.900536,0.20944999,4.96,,0.0722,85.75,-17.145708,1644.305,-5.01,,,,,,,
AMZN,3008.73,3031.74,2632.4592,3037.8,3008.73,3231.5098,3031.74,1.323857,2905.64,113.48888,4.599651,2905.64,2948.99,3552.25,1626.03,,3037.8,4.913,0.040960003,147.162,0.0041,0.57689,26.037,20.0793,0.15122,0.49,0.997,0.0047999998,3031.74,67.00476,39.947,44.1,2.64,,,,,,
EBS,101.63,103.41,85.41664,103.41,101.63,117.78314,103.41,1.428093,97.51,31.523033,4.406941,97.51,104.3,137.61,46.37,100.82,103.41,4.568,0.13523,22.662,0.047399998,0.88958,3.191,4.438708,0.15599,2.92,,0.066199996,103.41,12.65283,14.079,7.95,1.63,,,,,,
BGNE,262.62,267.62,186.01732,275.34,262.62,234.92772,267.62,1.312921,262.9,,104.878716,262.9,,275.34,114.41,262.8,275.34,74.333,,32.488,0.025999999,0.65331,-20.217,8.432652,0.2053,7.29,,,267.62,-20.881098,-11.882,-13.12,-0.68,,,,,,
UI,153.87,154.72,167.02315,157.115,153.87,177.80171,154.72,1.136008,152.93,30.890533,7.654454,152.93,154.95,199.91,110.01,154.54,157.115,8.027,0.29607,-4.502,0.019,0.12302,4.997,,0.8674,15.53,0.306,0.1633,154.72,24.23234,21.22,6.37,2.53,0.007148892,1.1,0.2069,1.6,,0.0104
TREX,68.39,68.81,57.958893,69.63,68.39,71.28643,68.81,1.617614,65.74,23.059235,9.816845,65.74,66.9,78.315,28.11,66.07,69.63,9.995,0.21412,8.633,0.09,1.07899,2.87,7.6659327,0.0061000003,10.05,0.322,0.1029,68.81,40.35366,33.256,1.64,3.11,,,,,,
CRM,244.53,245.13,184.36658,248.11,244.53,229.07372,245.13,1.240245,238.7101,93.70127,11.90232,238.7101,,284.5,115.29,242.15,248.11,11.255,0.12214,42.335,0.0137,0.85159,2.591,5.734735,0.03805,1.13,27.846,0.0159,245.13,64.569145,104.217,3.76,3.35,,,,,,
SMSI,3.73,3.78,4.291143,3.82,3.73,3.8608572,3.78,0.490523,3.705,14.307693,3.0576012,3.705,3.84,7.15,3.28,3.73,3.82,2.683,0.21190001,1.376,0.0523,0.24099001,0.26,2.7034883,0.20079,4.13,-0.599,0.0618,3.78,16.909092,10.501,0.22,1.51,,,,,,
CPRT,102.25,101.92,85.35543,103.84,102.25,101.174286,101.92,1.151616,101.74,35.37884,11.03431,101.74,109.96,,55.69,103.77,103.84,10.881,0.31733,10.6,0.0172,0.81487,2.93,9.779245,0.13286,3.41,0.078,0.0198,101.92,31.895386,26.157,3.25,1.58,,,,,,
APPF,144.36,145.06,136.67111,145.57,144.36,158.724,145.06,1.064659,139.6,165.17403,16.906364,139.6,143.3,180.56,81.01,142.91,145.57,17.284,0.10609999,4.214,0.0347,0.79271007,0.862,33.787376,0.03299,11.14,-0.168,0.075500004,145.06,169.50002,226.266,0.84,6.49,,,,,,
RPD,60.66,61.42,50.840073,61.69,60.66,61.47657,61.42,1.124303,58.81,,8.273395,58.81,59.48,67.76,31.34,59.28,61.69,8.698,-0.19872,1.78,0.1175,0.9317,-1.467,33.539326,0.072670005,10.32,,0.1189,61.42,497.50003,-85.331,0.12,-10.54,,,,,,
APPN,57.78,58.5,49.190144,58.935,57.78,55.515285,58.5,1.001739,55.38,,14.843766,55.38,56.84,64.72,29.07,56.66,58.935,13.306,-0.1745,4.278,0.13149999,0.84668,-0.728,13.24217,0.010190001,15.51,,0.3513,58.5,-125.88889,-92.676,-0.45,,,,,,,
ARNA,70.58,71.16,57.332073,72.3,70.58,66.28543,71.16,1.265328,69.47,,890.19104,69.47,71.99,72.3,32.95,70.79,72.3,550.887,,21.583,0.0668,0.84158,-6.824,3.3012092,0.00153,8.17,,0.0669,71.16,-8.731618,-7.019,-8.16,0.46,,,,,,
SQ,145.64,147.37,98.41757,149.13,145.64,147.96342,147.37,2.718238,141.64,224.8217,10.929573,141.64,145.2,170.61,32.33,145.01,149.13,10.354,0.05148,4.354,0.0591,0.74349,0.645,33.305004,0.01233,2.24,,0.071,147.37,119.842964,-15879.977,1.21,7.27,,,,,,
ANSS,308.88,309.24,279.0892,311.39,308.88,320.362,309.24,1.212931,,66.45175,17.210043,,305.66,354.87,200.07,304.65,311.39,17.587,0.26167,40.1,0.0238,1.0175,4.591,7.60798,0.00982,5.74,-0.12,0.026800001,309.24,44.150505,51.759,6.91,7.14,,,,,,
GNSS,5.23,5.31,4.256857,5.72,5.23,4.6694283,5.31,0.62486,5.275,,5.0997553,5.275,5.5,6.1,2.01,5.25,5.72,3.925,0.06385,,0.0238,0.53349996,,,0.0317,6.91,1.357,0.0323,5.31,,41.091,,2.91,,,,,,
CWST,56.33,56.71,50.002216,56.71,56.33,55.90914,56.71,0.950947,54.85,78.38983,3.5145843,54.85,55.71,59.68,34.35,55.46,56.71,4.279,0.0452,2.703,0.018,0.99907994,0.708,20.532742,0.03549,3.88,0.017,0.0191,56.71,60.326084,21.947,0.92,22.22,,,,,,
RCM,16.12,16.26,11.875286,17.66,16.12,15.195572,16.26,0.687848,15.76,113.23943,1.4863327,15.76,16.07,17.66,7.12,15.96,17.66,2.112,0.04023,0.4,0.0323,0.7983,0.142,40.2,0.16939,4.75,,0.0327,16.26,28.714285,13.495,0.56,4.3,,,,,,
ODFL,190.5,190.41,162.23436,190.41,190.5,193.61343,190.41,1.040691,182.105,37.276226,5.4797816,182.105,183.71,207.44,105.473335,184.1,190.41,5.729,0.14947,25.418,0.015700001,0.79547,4.938,7.241719,0.12898,2.75,-0.151,0.0191,190.41,29.404154,21.56,6.26,3.67,0.002745407,0.523,0.1074,0.6,,0.0032
POOL,304.29,303.39,256.90308,305.715,304.29,319.35257,303.39,0.865105,297.52,43.037144,3.7398336,297.52,301.84,342.15,160.35,301.09,305.715,3.673,0.083170004,12.157,0.0152,0.96046996,,24.780787,0.03261,2.67,0.199,0.015700001,303.39,36.209137,30.957,8.32,2.41,0.007328535,2.23,0.3186,2.32,1.08,0.0076
PCTY,144.88,145.6,123.118286,147.65,144.88,138.70772,145.6,1.589186,141.17,125.07826,13.789656,141.17,143.98,,66.98,124.44,147.65,12.985,0.11482,7.304,0.0276,0.69356,1.15,19.69332,0.30961,3.56,-0.517,0.0428,145.6,69.15385,82.339,2.08,4.55,,,,,,
HUBS,270.11,272.77,204.58885,276.24,270.11,276.39227,272.77,1.637123,267.46,,17.390184,267.46,274.15,320.89,90.835,273.7,276.24,16.228,-0.094969995,15.931,0.028199999,0.93921,-1.677,17.191011,0.05819,2.11,,0.0339,272.77,201.375,-401.548,1.36,14.22,,,,,,
REGI,47.37,47.541,27.987143,49.22,47.37,38.115143,47.541,1.453177,46.36,3.9716773,0.7309692,46.36,48.83,49.22,13.67,48.74,49.22,0.531,0.21473,29.789,0.075100005,1.18137,12.287,1.6381886,0.031489998,3.81,,0.093100004,47.541,8.698751,2.185,5.61,-0.92,,,,,,
ADBE,474.3,477.395,399.455,478.34,474.3,475.26257,477.395,0.942028,452.7501,61.690193,18.618666,452.7501,,536.88,255.13,466.3,478.34,18.799,0.30712998,22.669,0.0084,0.891,7.579,20.625082,0.00294,1.57,0.738,0.0084,477.395,41.857655,52.104,11.17,2.74,,,,,,
LPSN,47.77,48.23,36.997643,48.55,47.77,55.33914,48.23,1.40078,46.49,,9.78296,46.49,47.78,63.9,14.08,47.77,48.55,10.178,-0.33593,2.171,0.16139999,0.97283995,-1.699,22.058958,0.07197,9.24,,0.2575,48.23,-684.1428,-52.287,-0.07,-4.55,,,,,,
PAR,42.83,43.24,26.196215,44.4805,42.83,37.475716,43.24,1.51505,42.3,,3.9738307,42.3,43.99,46.49,9.64,40.04,44.4805,4.033,-0.15911001,3.767,0.171,0.65702003,-1.835,11.486594,0.13765,14.44,,0.19520001,43.24,-83.21154,-69.598,-0.52,-1.46,,,,,,
CAMT,15.52,15.54,12.3035,15.66,15.52,15.497429,15.54,1.726867,15.06,36.398106,4.729793,15.06,15.35,16.76,6.27,15.37,15.66,3.493,0.12689,3.753,0.010199999,0.30111998,0.422,4.0927258,0.46592,3.81,-0.262,0.018099999,15.54,20.48,25.583,0.75,1.72,0.010953608,0.17,0.4048,,,
W,269.34,272.06,182.1815,293.97,269.34,298.2177,272.06,3.474358,270.86,,2.4117718,270.86,290.99,349.082,21.7,,293.97,2.148,-0.05353,-8.283,0.16049999,1.22284,-6.559,,0.060599998,4.79,,0.3093,272.06,386.78665,-68.371,0.75,7.79,,,,,,
FICO,443.26,447.71,378.7117,449.44,443.26,429.7543,447.71,1.102564,435.64,56.61485,10.340687,435.64,442.74,452.74,177.65,437.22,449.44,10.616,0.18919,8.527,0.0183,0.8746,7.719,51.250145,0.02172,3.01,-0.001,0.0209,447.71,44.82154,41.525,9.75,3.14,,,,,,
MSFT,202.91,202.8,188.66443,203.65,202.91,212.65114,202.8,0.893534,196.25,34.78993,10.603652,196.25,200.09,232.86,132.52,200.05,203.65,10.416,0.30962,15.626,0.0047999998,0.74093,5.76,12.824139,0.014249999,1.08,-0.151,0.0049,202.8,27.263947,22.827,7.35,2.07,0.010053718,2.04,0.3455,2.24,1.83,0.011
NVDA,498.54,503.75,365.45422,505.3,498.54,489.17886,503.75,1.525641,479.55,89.56099,23.05234,479.55,,589.07,169.32,,505.3,22.727,0.25932,22.551,0.0088,0.69228,5.444,21.62077,0.04151,0.47,0.127,0.0092,503.75,44.12398,66.877,11.05,3.14,0.0012837485,0.64,0.1174,0.64,0.49,0.0013
LUNA,6.16,6.25,6.1822143,6.31,6.16,6.162286,6.25,0.992196,6.12,59.615383,2.5949426,6.12,6.26,9.32,4.5,6.11,6.31,2.34,0.049310002,2.266,0.0381,0.41192,0.104,2.7360988,0.06361,5.23,0.628,0.0405,6.25,22.962961,18.884,0.27,,,,,,,
TEAM,168.25,169.3,166.27728,172.09,168.25,173.60228,169.3,0.957494,167.57,,26.235155,167.57,171.44,199.5,,166.01,172.09,25.13,-0.21722999,2.32,0.031400003,0.9181,-1.432,73.76724,0.00928,3.83,,0.0705,169.3,111.85621,857.856,1.53,7.84,,,,,,
MASI,224.94,226.21,214.21808,226.82,224.94,218.94885,226.21,0.834448,220.02,57.682766,11.71748,220.02,223.27,,140.16,222.78,226.82,10.608,0.21224001,24.469,0.0226,0.85837996,3.871,9.125423,0.078049995,3.15,0.242,0.027999999,226.21,59.86327,41.234,3.73,6.16,,,,,,
ATEC,5.99,6.08,4.769357,6.28,5.99,5.8942857,6.08,1.65719,5.9718,,3.2708776,5.9718,5.99,7.93,2.19,4.6,6.28,3.68,-0.56164,0.295,0.0471,0.47787,-1.12,20.915255,0.30957,8.67,,0.0673,6.08,-8.814286,-13.605,-0.7,-0.49,,,,,,
FRTA,12.56,12.57,10.2495,12.57,12.56,14.185429,12.57,2.50202,11.33,27.177032,0.46913972,11.33,11.48,17.58,3.45,11.36,12.57,1.463,0.01754,2.076,0.0337,1.01249,0.418,5.4720616,0.01314,7.59,8.179,0.1161,12.57,10.616821,11.039,1.07,-0.42,,,,,,
MNTA,52.33,52.37,34.310715,52.45,52.33,44.138573,52.37,1.785395,52.14,,206.74084,52.14,52.4,52.45,12.21,52.28,52.45,188.197,,3.406,0.037,1.03484,-2.092,15.343512,0.00984,0.85,,0.0616,52.37,-27.21875,-23.492,-1.92,0.21,,,,,,
WMS,59.25,60.21,44.94,60.63,59.25,56.239716,60.21,1.526198,58.07,45.07704,2.3006032,58.07,58.43,61.65,22.13,58.4,60.63,2.88,0.0586,8.67,0.0195,0.88758004,1.298,6.748558,0.110740006,2.67,,0.024500001,60.21,20.175861,13.088,2.9,1.18,0.0060759494,0.36,0.2143,0.36,1.01,0.0061000003
MEDP,116.48,117.31,96.46868,117.31,116.48,123.17871,117.31,1.299843,111.663,39.77554,4.517353,111.663,112.5,144.49,58.72,112.12,117.31,4.583,0.12114,20.963,0.039300002,0.82433,2.829,5.367791,0.23909001,5.15,-0.122,0.0753,117.31,24.839954,26.729,4.53,4.94,,,,,,
MSCI,340.36,340.66,331.93265,348.11,340.36,359.72885,340.66,0.849498,340.66,56.18241,17.73018,340.66,345.83,398.49,210.34,345.35,348.11,18.763,0.32141,-3.718,0.0121,0.95443,6.14,,0.03184,2.34,-0.084,0.014099999,340.66,41.965935,34.37,8.22,3.97,0.007991538,2.72,0.443,3.12,1.04,0.0092
AMSC,12.14,12.28,8.154572,12.66,12.14,12.056286,12.28,1.136566,12.27,,4.003923,12.27,12.51,13.4,4.4,12.3,12.66,3.181,-0.23813,3.014,0.09020001,0.59360003,-1.017,4.1108165,0.16225,8.29,,0.0947,12.28,-31.769234,-14.213,-0.39,-0.71,,,,,,
MHH,18.38,18.7,18.283358,20.3914,18.38,20.581429,18.7,0.595317,18.2647,25.78005,1.1590796,18.2647,20.06,29.98,5.5,19.6,20.3914,1.115,0.04578,4.681,0.0082,0.12987,0.782,4.3067718,0.73406,2.61,-0.502,0.0297,18.7,16.128,13.799,1.25,0.93,,,,,,
DECK,213.33,215.49,177.53192,215.49,213.33,209.46342,215.49,0.879041,205.54,20.639202,2.7367456,205.54,,225.7,78.7,204.06,215.49,2.486,0.13442001,40.597,0.0356,1.04906,10.122,5.145947,0.0109,3.12,,0.053400002,215.49,18.309378,13.168,11.41,1.4,,,,,,
CSGP,830.81,834.63,699.8385,835.295,830.81,833.17114,834.63,1.050167,814.585,102.13403,21.480396,814.585,826.39,,500.24,666.28,835.295,18.64,0.19761999,132.654,0.013200001,0.96957,8.102,6.237957,0.01632,3.01,-0.046,0.0150999995,834.63,71.15133,63.181,11.63,4.44,,,,,,
SRNE,9.48,9.08,5.612643,9.46,9.48,9.859143,9.08,2.926421,8.6406,,67.68612,8.6406,9.55,19.39,1.39,9.54,9.46,45.615,,0.612,0.2875,0.17858,-1.639,15.408498,0.34213,1.03,,0.29299998,9.08,2.7412791,-9.411,3.44,0.05,,,,,,
XLRN,104.23,105.52,95.003784,106.79,104.23,95.93429,105.52,0.710702,102.86,,72.82584,102.86,106.99,110.75,37.6,89.07,106.79,57.594,-1.5784199,7.784,0.052399997,0.90094,-2.595,13.68962,0.13502,6.3,,0.0699,105.52,-47.15044,-35.786,-2.26,,,,,,,
HIBB,39.51,39.8,20.588715,40.915,39.51,30.144857,39.8,1.790969,39.57,20.708742,0.50943756,39.57,40.1,40.92,7.33,40.03,40.915,0.51,0.02564,20.895,0.2887,1.4889901,1.933,1.9157692,0.0152199995,,,0.4067,39.8,13.211221,5.323,3.03,1.3,,,,,,
RCII,28.61,28.94,24.269857,29.06,28.61,30.91657,28.94,1.576923,28.24,9.943899,0.5854666,28.24,28.47,33.51,11.69,28.33,29.06,0.683,0.05903,9.041,0.0385,1.0822899,2.852,3.136821,0.00412,,-0.592,0.062800005,28.94,9.060702,9.384,3.13,2.08,0.03774904,1.08,0.2912,1.16,,0.0405
WING,133.6,135.55,122.372284,139.86,133.6,153.91571,135.55,1.034002,130.48,138.26042,17.491718,130.48,132.37,,44.27,132.32,139.86,19.016,0.12728,-6.51,0.10479999,1.10073,0.96,,0.00682,7.44,1.346,0.1456,135.55,92.17361,68.912,1.44,4.57,0.003293413,0.44,0.45830002,0.56,,0.0043
AMED,235.14,237.54,199.83157,237.72,235.14,235.60771,237.54,0.891304,228.4301,60.50505,3.8460152,228.4301,233.31,248.96,,232.37,237.72,4.012,0.06504,22.219,0.019199999,0.90992,3.861,10.513974,0.01121,3.62,0.028,0.0224,237.54,38.485996,39.181,6.07,3.22,,,,,,
PYPL,175.79,176.7,152.51833,178.21,175.79,195.04372,176.7,1.14437,171.67,80.80313,10.749451,171.67,176.37,212.45,82.07,174.01,178.21,11.06,0.13441,15.038,0.0115,0.86617,2.179,11.70834,0.00127,1.98,0.859,0.0115,176.7,38.696705,58.076,4.55,2.02,,,,,,
SMIT,5.16,5.19,3.5245714,5.35,5.16,4.754286,5.19,0.861204,5.12,5.442523,4.7409396,5.12,5.28,5.35,2.12,4.27,5.35,2.213,0.92617,3.143,0.010299999,0.42124,0.983,1.7021954,0.07644,1.99,,0.0171,5.19,,-4.593,,,,,,,,
AAPL,110.34,110.4,88.140305,110.87,110.34,116.93757,110.4,1.284838,106.09,32.415047,6.6722083,106.09,106.93,137.98,53.1525,106.87,110.87,7.101,0.21334,4.218,0.0047,0.62115,3.296,25.32954,0.00066,0.39,0.12,0.0047,110.4,27.607235,24.719,3.87,2.73,0.0070871855,0.782,0.2373,0.82,1.54,0.0074
MTBC,9.18,9.12,7.922,9.62,9.18,10.289572,9.12,1.103121,9.06,,1.6377985,9.06,9.6,13.4,3.25,8.77,9.62,1.739,-0.095869996,6.372,0.0274,0.13399,-1.338,1.4987445,0.45812,1.7,,0.0495,9.12,-10.852273,-320.037,-0.88,,,,,,,
JYNT,17.3,17.3,14.148607,17.97,17.3,17.281143,17.3,1.172798,17.3,93.42105,4.7068763,17.3,18.5,21.75,7.67,12.4,17.97,4.743,0.053740002,0.535,0.0799,0.73767,0.19,33.17757,0.0322,13.75,-0.75,0.0971,17.3,59.166664,46.016,0.3,5.77,,,,,,
PODD,223.72,226.17,193.67471,,223.72,212.562,226.17,0.807134,223.19,778.6159,17.888927,223.19,226.03,233.99,,225.01,,16.901,0.02192,8.586,0.0454,1.081,0.289,26.207779,0.0092,6.57,9.286,0.060399998,226.17,184.44263,131.917,1.22,3.62,,,,,,
CHGG,65.26,66.03,59.01486,66.37,65.26,74.856575,66.03,0.958751,62.84,4930.769,16.336502,62.84,64.99,89.82,25.89,63.12,66.37,16.665,0.00321,4.015,0.10479999,1.07076,0.013,15.965131,0.02033,3.31,,0.121300004,66.03,42.733334,102.98,1.5,2.12,,,,,,
ADVM,12.83,13.01,15.776893,13.07,12.83,13.727428,13.01,1.698439,12.08,,4819.861,12.08,12.38,26.98,4.96,11.32,13.07,2841.39,,3.504,0.0929,0.80011004,-1.229,3.5331051,0.03342,5.33,,0.1008,13.01,-8.308724,-8.102,-1.49,,,,,,,
TTGT,40.6,40.67,29.113571,41.36,40.6,39.611713,40.67,1.004459,39.08,68.16327,8.120571,39.08,,42.99,16.82,,41.36,8.014,0.12077,5.576,0.0531,0.8896,0.588,7.187948,0.14743,4.68,0.15,0.0748,40.67,32.85246,38.109,1.22,2.01,,,,,,
PENN,72.995,74.44,30.9615,76.61,72.995,54.078857,74.44,2.83612,69.12,,2.5179574,69.12,70.4,76.62,3.75,70.27,76.61,4.584,-0.21157,10.846,0.1074,0.90691,-7.363,6.509312,0.06624,1.73,,0.1195,74.44,60.34188,29.429,1.17,-0.27,,,,,,
TRUP,70.18,70.44,41.990894,70.44,70.18,64.26372,70.44,1.632664,67.21,1507.174,5.634297,67.21,73.8,77.57,20.84,69.3,70.44,5.542,0.00377,4.026,0.1607,1.04915,0.046,17.220566,0.14141,5.69,,0.1758,70.44,1733.2501,312.348,0.04,-77.98,,,,,,
LHCG,202.98,204.94,163.33014,205.85,202.98,203.53572,204.94,0.568561,197.45,53.298153,3.0976722,197.45,202.08,214.97,,202.39,205.85,3.115,0.05756,47.466,0.0256,0.95151,3.79,4.2556777,0.05313,3.42,0.788,0.0324,204.94,34.948097,39.218,5.78,3.04,,,,,,
